EP00003
NO00001,IN00002,EP00001,10000000,0
NO00002,IN00003,EP00001,12000000,0
NO00003,IN00001,EP00003,1000,0
NO00004,IN00002,EP00001,10000000,1
NO00005,IN00003,EP00001,12000000,1
NO00006,IN00001,EP00003,1000,0
NO00007,IN00006,EP00003,1305920000,1
NO00008,IN00007,EP00002,39160000,1
NO00009,IN00008,EP00002,8250,1
NO00010,IN00010,EP00002,626604550,1
NO00011,IN00011,EP00003,1650,0
NO00012,IN00012,EP00000,35365000,1
NO00013,IN00013,EP00000,439175000,0
NO00014,IN00018,EP00003,41195000,0
NO00015,IN00019,EP00003,1240800,0
